countryCode|currencyCode|population|capital|continent|areaInSqKm|languages|geonameId
NP|NPR|28951852|Kathmandu|AS|140800|ne,en|1282988
NR|AUD|10065||OC|21|na,en-NR|2110425
NU|NZD|2166|Alofi|OC|260|niu,en-NU|4036232
NZ|NZD|4252277|Wellington|OC|268680|en-NZ,mi|2186224
OM|OMR|2967717|Muscat|AS|212460|ar-OM,en,bal,ur|286963
PA|PAB|3410676|Panama City|NA|78200|es-PA,en|3703430
PE|PEN|29907003|Lima|SA|1285220|es-PE,qu,ay|3932488
PF|XPF|270485|Papeete|OC|4167|fr-PF,ty|4030656
PG|PGK|6064515|Port Moresby|OC|462840|en-PG,ho,meu,tpi|2088628
PH|PHP|99900177|Manila|AS|300000|tl,en-PH,fil|1694008
PK|PKR|184404791|Islamabad|AS|803940|ur-PK,en-PK,pa,sd,ps,brh|1168579
PL|PLN|38500000|Warsaw|EU|312685|pl|798544
PM|EUR|7012|Saint-Pierre|NA|242|fr-PM|3424932
PN|NZD|46|Adamstown|OC|47|en-PN|4030699
PR|USD|3916632|San Juan|NA|9104|en-PR,es-PR|4566966
PS|ILS|3800000||AS|5970|ar-PS|6254930
PT|EUR|10676000|Lisbon|EU|92391|pt-PT,mwl|2264397
PW|USD|19907|Melekeok - Palau State Capital|OC|458|pau,sov,en-PW,tox,ja,fil,zh|1559582
PY|PYG|6375830|Asunción|SA|406750|es-PY,gn|3437598
QA|QAR|840926|Doha|AS|11437|ar-QA,es|289688
RE|EUR|776948|Saint-Denis|AF|2517|fr-RE|935317
RO|RON|21959278|Bucharest|EU|237500|ro,hu,rom|798549
RS|RSD|7344847|Belgrade|EU|88361|sr,hu,bs,rom|6290252
RU|RUB|140702000|Moscow|EU|1.71E+007|ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,tut,kbd,krc,ava,sah,nog|2017370
RW|RWF|11055976|Kigali|AF|26338|rw,en-RW,fr-RW,sw|49518
SA|SAR|25731776|Riyadh|AS|1960582|ar-SA|102358
SB|SBD|559198|Honiara|OC|28450|en-SB,tpi|2103350
SC|SCR|88340|Victoria|AF|455|en-SC,fr-SC|241170
SD|SDG|35000000|Khartoum|AF|1861484|ar-SD,en,fia|366755
SE|SEK|9555893|Stockholm|EU|449964|sv-SE,se,sma,fi-SE|2661886
SG|SGD|4701069|Singapore|AS|692.7|cmn,en-SG,ms-SG,ta-SG,zh-SG|1880251
SH|SHP|7460|Jamestown|AF|410|en-SH|3370751
SI|EUR|2007000|Ljubljana|EU|20273|sl,sh|3190538
SJ|NOK|2550|Longyearbyen|EU|62049|no,ru|607072
SK|EUR|5455000|Bratislava|EU|48845|sk,hu|3057568
SL|SLL|5245695|Freetown|AF|71740|en-SL,men,tem|2403846
SM|EUR|31477|San Marino|EU|61.2|it-SM|3168068
SN|XOF|12323252|Dakar|AF|196190|fr-SN,wo,fuc,mnk|2245662
SO|SOS|10112453|Mogadishu|AF|637657|so-SO,ar-SO,it,en-SO|51537
SR|SRD|492829|Paramaribo|SA|163270|nl-SR,en,srn,hns,jv|3382998
SS|SSP|8260490|Juba|AF|644329|en|7909807
ST|STD|175808|São Tomé|AF|1001|pt-ST|2410758
SV|USD|6052064|San Salvador|NA|21040|es-SV|3585968
SX|ANG|37429|Philipsburg|NA|21|nl,en|7609695
SY|SYP|22198110|Damascus|AS|185180|ar-SY,ku,hy,arc,fr,en|163843
SZ|SZL|1354051|Mbabane|AF|17363|en-SZ,ss-SZ|934841
TC|USD|20556|Cockburn Town|NA|430|en-TC|3576916
